Time,Gait_Vector
1738244464.0613768,0.0
1738244464.0760982,1.0
1738244464.0939617,2.0
1738244464.1110458,3.0
1738244464.1255977,4.0
1738244464.1440864,5.0
1738244464.1616783,6.0
1738244464.175649,7.0
1738244464.1941705,8.0
1738244464.2122507,9.0
1738244464.2260983,10.0
1738244464.245246,11.0
1738244464.2617185,12.0
1738244464.2766287,13.0
1738244464.2950015,14.0
1738244464.3120997,15.0
1738244464.326378,16.0
1738244464.3447337,17.0
1738244464.3625038,18.0
1738244464.3766952,19.0
1738244464.3947408,20.0
1738244464.4121585,21.0
1738244464.4335177,22.0
1738244464.4535315,23.0
1738244464.4685578,24.0
1738244464.4853933,25.0
1738244464.50448,26.0
1738244464.518704,27.0
1738244464.5357049,28.0
1738244464.5547316,29.0
1738244464.569256,30.0
1738244464.585798,31.0
1738244464.6045768,32.0
1738244464.619317,33.0
1738244464.635496,34.0
1738244464.65511,35.0
1738244464.669304,36.0
1738244464.6854832,37.0
1738244464.7046037,38.0
1738244464.7198164,39.0
1738244464.7360256,40.0
1738244464.7553334,41.0
1738244464.7694604,42.0
1738244464.7861328,43.0
1738244464.805439,44.0
1738244464.819567,45.0
1738244464.836123,46.0
1738244464.8551214,47.0
1738244464.8698914,48.0
1738244464.8859212,49.0
1738244464.9057631,50.0
1738244464.9198823,51.0
1738244464.9361546,52.0
1738244464.955448,53.0
1738244464.970611,54.0
1738244464.986411,55.0
1738244465.0058053,56.0
1738244465.0199254,57.0
1738244465.0367126,58.0
1738244465.0557663,59.0
1738244465.0700843,60.0
1738244465.0860932,61.0
1738244465.1060567,62.0
1738244465.120702,63.0
1738244465.1371267,64.0
1738244465.155912,65.0
1738244465.17042,66.0
1738244465.1868978,67.0
1738244465.2057705,68.0
1738244465.2204263,69.0
1738244465.2364457,70.0
1738244465.2561116,71.0
1738244465.2705443,72.0
1738244465.2867954,73.0
1738244465.305889,74.0
1738244465.3205674,75.0
1738244465.3366475,76.0
1738244465.3560734,77.0
1738244465.3705568,78.0
1738244465.3874035,79.0
1738244465.407293,80.0
1738244465.4210572,81.0
1738244465.436792,82.0
1738244465.456037,83.0
1738244465.4707232,84.0
1738244465.4866529,85.0
1738244465.506565,86.0
1738244465.5209394,87.0
1738244465.5371351,88.0
1738244465.5563335,89.0
1738244465.5707035,90.0
1738244465.5869117,91.0
1738244465.6065965,92.0
1738244465.6208444,93.0
1738244465.6372976,94.0
1738244465.6561828,95.0
1738244465.6707065,96.0
1738244465.6870055,97.0
1738244465.7070606,98.0
1738244465.721508,99.0
1738244465.7372897,100.0
1738244465.75634,0.0
1738244465.7708304,0.7936507936507936
1738244465.786506,1.5873015873015872
1738244465.8060906,2.380952380952381
1738244465.8208034,3.1746031746031744
1738244465.83701,3.968253968253968
1738244465.8563602,4.761904761904762
1738244465.8706048,5.555555555555555
1738244465.8867598,6.349206349206349
1738244465.9064455,7.142857142857142
1738244465.9209485,7.936507936507936
1738244465.9372058,8.73015873015873
1738244465.9560976,9.523809523809524
1738244465.970492,10.317460317460316
1738244465.9868033,11.11111111111111
1738244466.007196,11.904761904761903
1738244466.021694,12.698412698412698
1738244466.0374324,13.492063492063492
1738244466.0568442,14.285714285714285
1738244466.071057,15.079365079365079
1738244466.0871286,15.873015873015872
1738244466.107368,16.666666666666664
1738244466.1213834,17.46031746031746
1738244466.138054,18.253968253968253
1738244466.1577692,19.047619047619047
1738244466.17258,19.841269841269842
1738244466.1890357,20.634920634920633
1738244466.2073004,21.428571428571427
1738244466.2216256,22.22222222222222
1738244466.238059,23.015873015873016
1738244466.2576015,23.809523809523807
1738244466.271093,24.6031746031746
1738244466.2873366,25.396825396825395
1738244466.3068843,26.19047619047619
1738244466.3216803,26.984126984126984
1738244466.3382516,27.777777777777775
1738244466.3573947,28.57142857142857
1738244466.3713224,29.365079365079364
1738244466.388163,30.158730158730158
1738244466.4069242,30.95238095238095
1738244466.4218986,31.746031746031743
1738244466.4377077,32.53968253968254
1738244466.4561555,33.33333333333333
1738244466.4705148,34.12698412698413
1738244466.488394,34.92063492063492
1738244466.5073826,35.714285714285715
1738244466.522136,36.507936507936506
1738244466.5382342,37.3015873015873
1738244466.556901,38.095238095238095
1738244466.571701,38.888888888888886
1738244466.589003,39.682539682539684
1738244466.6075797,40.476190476190474
1738244466.622244,41.269841269841265
1738244466.6383493,42.06349206349206
1738244466.6566374,42.857142857142854
1738244466.6718717,43.650793650793645
1738244466.687673,44.44444444444444
1738244466.706583,45.238095238095234
1738244466.7212412,46.03174603174603
1738244466.7375855,46.82539682539682
1738244466.756449,47.61904761904761
1738244466.7709267,48.41269841269841
1738244466.7883892,49.2063492063492
1738244466.8066373,50.0
1738244466.821068,50.79365079365079
1738244466.8373675,51.58730158730158
1738244466.855911,52.38095238095238
1738244466.8707695,53.17460317460317
1738244466.887042,53.96825396825397
1738244466.906711,54.76190476190476
1738244466.921466,55.55555555555555
1738244466.9375975,56.34920634920635
1738244466.9556096,57.14285714285714
1738244466.971284,57.93650793650794
1738244466.9876184,58.73015873015873
1738244467.0062351,59.52380952380952
1738244467.021206,60.317460317460316
1738244467.0377772,61.11111111111111
1738244467.0564957,61.9047619047619
1738244467.071635,62.698412698412696
1738244467.0878148,63.49206349206349
1738244467.1067872,64.28571428571428
1738244467.1219974,65.07936507936508
1738244467.1378744,65.87301587301587
1738244467.1567428,66.66666666666666
1738244467.1716764,67.46031746031746
1738244467.1881108,68.25396825396825
1738244467.2067864,69.04761904761904
1738244467.2219813,69.84126984126983
1738244467.238417,70.63492063492063
1738244467.2565086,71.42857142857143
1738244467.2715745,72.22222222222221
1738244467.2885702,73.01587301587301
1738244467.3061817,73.80952380952381
1738244467.3219285,74.6031746031746
1738244467.3377504,75.39682539682539
1738244467.3560438,76.19047619047619
1738244467.371584,76.98412698412697
1738244467.3879063,77.77777777777777
1738244467.4056785,78.57142857142857
1738244467.4219458,79.36507936507937
1738244467.438256,80.15873015873015
1738244467.456148,80.95238095238095
1738244467.472202,81.74603174603175
1738244467.488326,82.53968253968253
1738244467.5060608,83.33333333333333
1738244467.5217617,84.12698412698413
1738244467.5384104,84.92063492063491
1738244467.556736,85.71428571428571
1738244467.5720332,86.5079365079365
1738244467.5880363,87.30158730158729
1738244467.6064868,88.09523809523809
1738244467.6224926,88.88888888888889
1738244467.6381276,89.68253968253968
1738244467.6566522,90.47619047619047
1738244467.6721916,91.26984126984127
1738244467.6884758,92.06349206349206
1738244467.7065363,92.85714285714285
1738244467.7220132,93.65079365079364
1738244467.7386365,94.44444444444444
1738244467.7563958,95.23809523809523
1738244467.7728844,96.03174603174602
1738244467.789049,96.82539682539682
1738244467.8061712,97.61904761904762
1738244467.8228323,98.4126984126984
1738244467.8382304,99.2063492063492
1738244467.8567212,100.0
1738244467.8725064,0.0
1738244467.8890855,0.7751937984496124
1738244467.9066176,1.550387596899225
1738244467.9230363,2.3255813953488373
1738244467.9382195,3.10077519379845
1738244467.9569976,3.8759689922480622
1738244467.9728522,4.651162790697675
1738244467.989189,5.426356589147288
1738244468.0069084,6.2015503875969
1738244468.023208,6.976744186046512
1738244468.0392616,7.7519379844961245
1738244468.057473,8.527131782945737
1738244468.073355,9.30232558139535
1738244468.089868,10.077519379844961
1738244468.1070027,10.852713178294575
1738244468.1235323,11.627906976744187
1738244468.138513,12.4031007751938
1738244468.1578438,13.178294573643411
1738244468.173617,13.953488372093023
1738244468.189407,14.728682170542637
1738244468.207358,15.503875968992249
1738244468.2234385,16.27906976744186
1738244468.2434795,17.054263565891475
1738244468.260712,17.829457364341085
1738244468.275505,18.6046511627907
1738244468.2945445,19.379844961240313
1738244468.3126872,20.155038759689923
1738244468.3266854,20.930232558139537
1738244468.3425164,21.70542635658915
1738244468.359671,22.48062015503876
1738244468.3751678,23.255813953488374
1738244468.3902583,24.031007751937985
1738244468.4083383,24.8062015503876
1738244468.4243526,25.581395348837212
1738244468.443556,26.356589147286822
1738244468.4608946,27.131782945736436
1738244468.475583,27.906976744186046
1738244468.4905243,28.68217054263566
1738244468.5085285,29.457364341085274
1738244468.5245135,30.232558139534884
1738244468.539847,31.007751937984498
1738244468.558315,31.78294573643411
1738244468.5742984,32.55813953488372
1738244468.5903249,33.333333333333336
1738244468.6079228,34.10852713178295
1738244468.6251,34.88372093023256
1738244468.6400802,35.65891472868217
1738244468.6583505,36.434108527131784
1738244468.6745777,37.2093023255814
1738244468.6900303,37.98449612403101
1738244468.7083085,38.759689922480625
1738244468.7254012,39.53488372093023
1738244468.739886,40.310077519379846
1738244468.758793,41.08527131782946
1738244468.774814,41.86046511627907
1738244468.790557,42.63565891472869
1738244468.808258,43.4108527131783
1738244468.8253148,44.18604651162791
1738244468.8410685,44.96124031007752
1738244468.8587344,45.736434108527135
1738244468.875179,46.51162790697675
1738244468.8904614,47.28682170542636
1738244468.908932,48.06201550387597
1738244468.925612,48.83720930232558
1738244468.9406166,49.6124031007752
1738244468.9593987,50.38759689922481
1738244468.9755547,51.162790697674424
1738244468.9910798,51.93798449612403
1738244469.009206,52.713178294573645
1738244469.0252852,53.48837209302326
1738244469.0407598,54.26356589147287
1738244469.059217,55.038759689922486
1738244469.0754783,55.81395348837209
1738244469.0906596,56.58914728682171
1738244469.1098068,57.36434108527132
1738244469.125795,58.139534883720934
1738244469.1406405,58.91472868217055
1738244469.1594748,59.68992248062016
1738244469.1759815,60.46511627906977
1738244469.1909811,61.24031007751938
1738244469.2094898,62.015503875968996
1738244469.2267027,62.79069767441861
1738244469.2413976,63.56589147286822
1738244469.2595322,64.34108527131784
1738244469.2760077,65.11627906976744
1738244469.29113,65.89147286821706
1738244469.3095238,66.66666666666667
1738244469.3261912,67.44186046511628
1738244469.3411057,68.2170542635659
1738244469.3602507,68.9922480620155
1738244469.3770752,69.76744186046513
1738244469.3914342,70.54263565891473
1738244469.4097104,71.31782945736434
1738244469.4262102,72.09302325581396
1738244469.4413106,72.86821705426357
1738244469.459355,73.64341085271319
1738244469.4767947,74.4186046511628
1738244469.4912806,75.1937984496124
1738244469.509555,75.96899224806202
1738244469.526906,76.74418604651163
1738244469.5412838,77.51937984496125
1738244469.5601745,78.29457364341086
1738244469.576722,79.06976744186046
1738244469.591467,79.84496124031008
1738244469.610716,80.62015503875969
1738244469.6275098,81.39534883720931
1738244469.6431148,82.17054263565892
1738244469.6603725,82.94573643410853
1738244469.6776874,83.72093023255815
1738244469.6938326,84.49612403100775
1738244469.7103534,85.27131782945737
1738244469.7279985,86.04651162790698
1738244469.7435088,86.8217054263566
1738244469.7609403,87.59689922480621
1738244469.777775,88.37209302325581
1738244469.7930498,89.14728682170544
1738244469.8102248,89.92248062015504
1738244469.8274202,90.69767441860466
1738244469.843122,91.47286821705427
1738244469.860236,92.24806201550388
1738244469.877257,93.0232558139535
1738244469.8935094,93.7984496124031
1738244469.9105363,94.57364341085272
1738244469.927964,95.34883720930233
1738244469.9430373,96.12403100775194
1738244469.9608834,96.89922480620156
1738244469.9781418,97.67441860465117
1738244469.99319,98.44961240310079
1738244470.0108595,99.2248062015504
