Time,Gait_Phases
1738244464.0613768,False
1738244464.0760982,False
1738244464.0939617,False
1738244464.1110458,False
1738244464.1255977,False
1738244464.1440864,False
1738244464.1616783,False
1738244464.175649,False
1738244464.1941705,False
1738244464.2122507,False
1738244464.2260983,False
1738244464.245246,False
1738244464.2617185,False
1738244464.2766287,False
1738244464.2950015,False
1738244464.3120997,False
1738244464.326378,False
1738244464.3447337,False
1738244464.3625038,False
1738244464.3766952,False
1738244464.3947408,False
1738244464.4121585,False
1738244464.4335177,False
1738244464.4535315,False
1738244464.4685578,False
1738244464.4853933,False
1738244464.50448,False
1738244464.518704,False
1738244464.5357049,False
1738244464.5547316,False
1738244464.569256,False
1738244464.585798,False
1738244464.6045768,False
1738244464.619317,False
1738244464.635496,False
1738244464.65511,False
1738244464.669304,False
1738244464.6854832,False
1738244464.7046037,False
1738244464.7198164,False
1738244464.7360256,False
1738244464.7553334,False
1738244464.7694604,False
1738244464.7861328,False
1738244464.805439,False
1738244464.819567,False
1738244464.836123,False
1738244464.8551214,False
1738244464.8698914,False
1738244464.8859212,False
1738244464.9057631,False
1738244464.9198823,False
1738244464.9361546,False
1738244464.955448,False
1738244464.970611,False
1738244464.986411,False
1738244465.0058053,False
1738244465.0199254,False
1738244465.0367126,False
1738244465.0557663,False
1738244465.0700843,False
1738244465.0860932,False
1738244465.1060567,False
1738244465.120702,False
1738244465.1371267,False
1738244465.155912,False
1738244465.17042,False
1738244465.1868978,False
1738244465.2057705,False
1738244465.2204263,False
1738244465.2364457,False
1738244465.2561116,False
1738244465.2705443,False
1738244465.2867954,False
1738244465.305889,False
1738244465.3205674,False
1738244465.3366475,False
1738244465.3560734,False
1738244465.3705568,False
1738244465.3874035,False
1738244465.407293,False
1738244465.4210572,False
1738244465.436792,False
1738244465.456037,False
1738244465.4707232,False
1738244465.4866529,False
1738244465.506565,False
1738244465.5209394,False
1738244465.5371351,False
1738244465.5563335,False
1738244465.5707035,False
1738244465.5869117,False
1738244465.6065965,False
1738244465.6208444,False
1738244465.6372976,False
1738244465.6561828,False
1738244465.6707065,False
1738244465.6870055,False
1738244465.7070606,False
1738244465.721508,False
1738244465.7372897,False
1738244465.75634,False
1738244465.7708304,False
1738244465.786506,False
1738244465.8060906,False
1738244465.8208034,False
1738244465.83701,False
1738244465.8563602,False
1738244465.8706048,False
1738244465.8867598,False
1738244465.9064455,False
1738244465.9209485,False
1738244465.9372058,False
1738244465.9560976,False
1738244465.970492,False
1738244465.9868033,False
1738244466.007196,False
1738244466.021694,False
1738244466.0374324,False
1738244466.0568442,False
1738244466.071057,False
1738244466.0871286,False
1738244466.107368,False
1738244466.1213834,False
1738244466.138054,False
1738244466.1577692,False
1738244466.17258,False
1738244466.1890357,False
1738244466.2073004,False
1738244466.2216256,False
1738244466.238059,False
1738244466.2576015,False
1738244466.271093,False
1738244466.2873366,False
1738244466.3068843,False
1738244466.3216803,False
1738244466.3382516,False
1738244466.3573947,False
1738244466.3713224,False
1738244466.388163,False
1738244466.4069242,False
1738244466.4218986,False
1738244466.4377077,False
1738244466.4561555,False
1738244466.4705148,False
1738244466.488394,False
1738244466.5073826,False
1738244466.522136,False
1738244466.5382342,False
1738244466.556901,False
1738244466.571701,False
1738244466.589003,False
1738244466.6075797,False
1738244466.622244,False
1738244466.6383493,False
1738244466.6566374,False
1738244466.6718717,False
1738244466.687673,False
1738244466.706583,False
1738244466.7212412,False
1738244466.7375855,False
1738244466.756449,False
1738244466.7709267,False
1738244466.7883892,False
1738244466.8066373,False
1738244466.821068,False
1738244466.8373675,False
1738244466.855911,False
1738244466.8707695,False
1738244466.887042,False
1738244466.906711,False
1738244466.921466,False
1738244466.9375975,False
1738244466.9556096,False
1738244466.971284,False
1738244466.9876184,False
1738244467.0062351,False
1738244467.021206,False
1738244467.0377772,False
1738244467.0564957,False
1738244467.071635,False
1738244467.0878148,False
1738244467.1067872,False
1738244467.1219974,False
1738244467.1378744,False
1738244467.1567428,False
1738244467.1716764,False
1738244467.1881108,False
1738244467.2067864,False
1738244467.2219813,False
1738244467.238417,False
1738244467.2565086,False
1738244467.2715745,False
1738244467.2885702,False
1738244467.3061817,False
1738244467.3219285,False
1738244467.3377504,False
1738244467.3560438,False
1738244467.371584,False
1738244467.3879063,False
1738244467.4056785,False
1738244467.4219458,False
1738244467.438256,False
1738244467.456148,False
1738244467.472202,False
1738244467.488326,False
1738244467.5060608,False
1738244467.5217617,False
1738244467.5384104,False
1738244467.556736,False
1738244467.5720332,False
1738244467.5880363,False
1738244467.6064868,False
1738244467.6224926,False
1738244467.6381276,False
1738244467.6566522,False
1738244467.6721916,False
1738244467.6884758,False
1738244467.7065363,False
1738244467.7220132,False
1738244467.7386365,False
1738244467.7563958,False
1738244467.7728844,False
1738244467.789049,False
1738244467.8061712,False
1738244467.8228323,False
1738244467.8382304,False
1738244467.8567212,False
1738244467.8725064,False
1738244467.8890855,False
1738244467.9066176,False
1738244467.9230363,False
1738244467.9382195,False
1738244467.9569976,False
1738244467.9728522,False
1738244467.989189,False
1738244468.0069084,False
1738244468.023208,False
1738244468.0392616,False
1738244468.057473,False
1738244468.073355,False
1738244468.089868,False
1738244468.1070027,False
1738244468.1235323,False
1738244468.138513,False
1738244468.1578438,False
1738244468.173617,False
1738244468.189407,False
1738244468.207358,False
1738244468.2234385,False
1738244468.2434795,False
1738244468.260712,False
1738244468.275505,False
1738244468.2945445,False
1738244468.3126872,False
1738244468.3266854,False
1738244468.3425164,False
1738244468.359671,False
1738244468.3751678,False
1738244468.3902583,False
1738244468.4083383,False
1738244468.4243526,False
1738244468.443556,False
1738244468.4608946,False
1738244468.475583,False
1738244468.4905243,False
1738244468.5085285,False
1738244468.5245135,False
1738244468.539847,False
1738244468.558315,False
1738244468.5742984,False
1738244468.5903249,False
1738244468.6079228,False
1738244468.6251,False
1738244468.6400802,False
1738244468.6583505,False
1738244468.6745777,False
1738244468.6900303,False
1738244468.7083085,False
1738244468.7254012,False
1738244468.739886,False
1738244468.758793,False
1738244468.774814,False
1738244468.790557,False
1738244468.808258,False
1738244468.8253148,False
1738244468.8410685,False
1738244468.8587344,False
1738244468.875179,False
1738244468.8904614,False
1738244468.908932,False
1738244468.925612,False
1738244468.9406166,False
1738244468.9593987,False
1738244468.9755547,False
1738244468.9910798,False
1738244469.009206,False
1738244469.0252852,False
1738244469.0407598,False
1738244469.059217,False
1738244469.0754783,False
1738244469.0906596,False
1738244469.1098068,False
1738244469.125795,False
1738244469.1406405,False
1738244469.1594748,False
1738244469.1759815,False
1738244469.1909811,False
1738244469.2094898,False
1738244469.2267027,False
1738244469.2413976,False
1738244469.2595322,False
1738244469.2760077,False
1738244469.29113,False
1738244469.3095238,False
1738244469.3261912,False
1738244469.3411057,False
1738244469.3602507,False
1738244469.3770752,False
1738244469.3914342,False
1738244469.4097104,False
1738244469.4262102,False
1738244469.4413106,False
1738244469.459355,False
1738244469.4767947,False
1738244469.4912806,False
1738244469.509555,False
1738244469.526906,False
1738244469.5412838,False
1738244469.5601745,False
1738244469.576722,False
1738244469.591467,False
1738244469.610716,False
1738244469.6275098,False
1738244469.6431148,False
1738244469.6603725,False
1738244469.6776874,False
1738244469.6938326,False
1738244469.7103534,False
1738244469.7279985,False
1738244469.7435088,False
1738244469.7609403,False
1738244469.777775,False
1738244469.7930498,False
1738244469.8102248,False
1738244469.8274202,False
1738244469.843122,False
1738244469.860236,False
1738244469.877257,False
1738244469.8935094,False
1738244469.9105363,False
1738244469.927964,False
1738244469.9430373,False
1738244469.9608834,False
1738244469.9781418,False
1738244469.99319,False
1738244470.0108595,False
1738244470.028198,False
1738244470.0436518,False
1738244470.060249,False
1738244470.078088,False
1738244470.0934725,False
1738244470.1106017,False
1738244470.1281838,False
1738244470.1433318,False
1738244470.1607,False
1738244470.1784596,False
1738244470.1935904,False
1738244470.2107074,False
1738244470.2288687,False
1738244470.2442522,False
1738244470.2608848,False
1738244470.2783964,False
1738244470.2943552,False
1738244470.3117387,False
1738244470.3284152,False
1738244470.3496466,False
1738244470.366994,False
1738244470.3813426,False
1738244470.399623,False
1738244470.4175885,False
1738244470.4320512,False
1738244470.4503336,False
1738244470.4680908,False
1738244470.48203,False
1738244470.50022,False
1738244470.5179696,False
1738244470.532982,False
1738244470.5506225,False
1738244470.5673492,False
1738244470.5825577,False
1738244470.6004682,False
1738244470.618366,False
1738244470.6329222,False
1738244470.650663,False
1738244470.6680565,False
1738244470.6827047,False
1738244470.6995358,False
1738244470.7181942,False
1738244470.7325227,False
1738244470.7507284,False
1738244470.766733,False
1738244470.7822254,False
1738244470.7993858,False
1738244470.817731,False
1738244470.8326955,False
1738244470.8505085,False
1738244470.865818,False
1738244470.88194,False
1738244470.8993556,False
1738244470.915348,False
1738244470.931302,False
1738244470.949298,False
1738244470.9646482,False
1738244470.9814515,False
1738244470.9987311,False
1738244471.015247,False
1738244471.0319176,False
1738244471.0493183,False
1738244471.0646272,False
1738244471.081647,False
1738244471.0994484,False
1738244471.1149127,False
1738244471.1326065,False
1738244471.1496437,False
1738244471.1646566,False
1738244471.1824148,False
1738244471.199374,False
1738244471.215873,False
1738244471.2322342,False
1738244471.250652,False
1738244471.265644,False
1738244471.2828052,False
1738244471.2999606,False
1738244471.316308,False
1738244471.3333406,False
1738244471.350788,False
1738244471.3665454,False
1738244471.3823342,False
1738244471.4003785,False
1738244471.416679,False
