Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1738248568.9675872,3,1738248568,955043153,,2,/record_1738248568892751358,Subscribing to /insole_data,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738248568.967608,4,1738248568,957378415,,2,/record_1738248568892751358,Subscribing to /vGRF,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738248568.967618,5,1738248568,959489599,,2,/record_1738248568892751358,Subscribing to /insole_data_filtered,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738248568.9676256,6,1738248568,961102344,,2,/record_1738248568892751358,Subscribing to /CoP,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738248568.9676306,7,1738248568,962555564,,2,/record_1738248568892751358,Subscribing to /foot/imu_data,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738248568.9676378,8,1738248568,963933336,,2,/record_1738248568892751358,Subscribing to /shank/imu_data,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738248568.9676473,9,1738248568,965635516,,2,/record_1738248568892751358,Subscribing to /ankle_joint/angle,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738248569.2025177,9,1738243977,206836700,,2,/insole_acquisition_2748_1738243977047,Starting Insole Acquisition,insole_acquisition.py,ArduinoNode.run,53,"['/rosout', '/insole_data']"
1738248569.2034202,81,1738246795,290940046,,2,/imus_data_acq_3748_1738246752939,IMUs on port /dev/ttyUSB0 calibrated!,imus_data_acquisition.py,IMUBNOArduinoNode.calibrate_imu,38,"['/shank/imu_data', '/foot/imu_data', '/rosout']"
1738248569.2038736,273,1738248547,194421052,,2,/ankle_angle_estimator_5109_1738248542032,Publishing Ankle Angle,ankle_angle_estimator.py,AnkleAngleEstimator.initialize,90,"['/ankle_joint/angle', '/shank/imu_data', '/rosout', '/foot/imu_data']"
