Time,Gait_Progress
1738244948.721418,0.0
1738244948.738717,0.0
1738244948.755232,0.0
1738244948.771079,0.0
1738244948.788082,0.0
1738244948.8056662,0.0
1738244948.821802,0.0
1738244948.8385136,0.0
1738244948.8557744,0.0
1738244948.8715465,0.0
1738244948.8887508,0.0
1738244948.9058464,0.0
1738244948.921628,0.0
1738244948.93866,0.0
1738244948.955958,0.0
1738244948.9720528,0.0
1738244948.9883797,0.0
1738244949.0059707,0.0
1738244949.022065,0.0
1738244949.03842,0.0
1738244949.055528,0.0
1738244949.0724187,0.0
1738244949.0891757,0.0
1738244949.1068091,0.0
1738244949.1226606,0.0
1738244949.1393106,0.0
1738244949.1569035,0.0
1738244949.173576,0.0
1738244949.189162,0.0
1738244949.2068589,0.0
1738244949.2232628,0.0
1738244949.2396395,0.0
1738244949.2570412,0.0
1738244949.2740376,0.0
1738244949.2894688,0.0
1738244949.306439,0.0
1738244949.3237236,0.0
1738244949.3391106,0.0
1738244949.3563826,0.0
1738244949.3738408,0.0
1738244949.389496,0.0
1738244949.4062316,0.0
1738244949.4234378,0.0
1738244949.4393833,0.0
1738244949.456953,0.8928571428571429
1738244949.4738834,1.7857142857142858
1738244949.4891317,2.678571428571429
1738244949.5069962,3.5714285714285716
1738244949.524262,4.464285714285714
1738244949.5402217,5.357142857142858
1738244949.5572102,6.25
1738244949.5739486,7.142857142857143
1738244949.5902662,8.035714285714286
1738244949.607629,8.928571428571429
1738244949.6252306,9.821428571428571
1738244949.6403246,10.714285714285715
1738244949.657673,11.607142857142858
1738244949.6742425,12.5
1738244949.690446,13.392857142857144
1738244949.7075708,14.285714285714286
1738244949.7250316,15.178571428571429
1738244949.7403252,16.071428571428573
1738244949.7577732,16.964285714285715
1738244949.7748158,17.857142857142858
1738244949.7900913,18.75
1738244949.8077266,19.642857142857142
1738244949.8248785,20.53571428571429
1738244949.8405805,21.42857142857143
1738244949.8578408,22.321428571428573
1738244949.874885,23.214285714285715
1738244949.890257,24.107142857142858
1738244949.908839,25.0
1738244949.9251535,25.892857142857146
1738244949.9406464,26.78571428571429
1738244949.958788,27.67857142857143
1738244949.9755068,28.571428571428573
1738244949.990682,29.464285714285715
1738244950.0086803,30.357142857142858
1738244950.0259027,31.25
1738244950.041746,32.142857142857146
1738244950.0583923,33.035714285714285
1738244950.076257,33.92857142857143
1738244950.0915954,34.82142857142858
1738244950.108888,35.714285714285715
1738244950.126515,36.60714285714286
1738244950.1416895,37.5
1738244950.1587043,38.392857142857146
1738244950.1758811,39.285714285714285
1738244950.191736,40.17857142857143
1738244950.208721,41.07142857142858
1738244950.2270112,41.964285714285715
1738244950.242266,42.85714285714286
1738244950.259286,43.75
