Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1738246876.4486413,3,1738246876,431160297,,2,/record_1738246876377367502,Subscribing to /insole_data,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738246876.4486604,4,1738246876,433746622,,2,/record_1738246876377367502,Subscribing to /vGRF,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738246876.4486687,5,1738246876,436316895,,2,/record_1738246876377367502,Subscribing to /insole_data_filtered,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738246876.448702,6,1738246876,438090421,,2,/record_1738246876377367502,Subscribing to /CoP,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738246876.4487123,7,1738246876,440223890,,2,/record_1738246876377367502,Subscribing to /foot/imu_data,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738246876.4487183,8,1738246876,442878576,,2,/record_1738246876377367502,Subscribing to /shank/imu_data,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738246876.4487398,9,1738246876,445523081,,2,/record_1738246876377367502,Subscribing to /ankle_joint/angle,/tmp/binarydeb/ros-noetic-rosbag-1.17.0/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,256,['/rosout']
1738246876.674685,7,1738243977,206836700,,2,/insole_acquisition_2748_1738243977047,Starting Insole Acquisition,insole_acquisition.py,ArduinoNode.run,53,"['/rosout', '/insole_data']"
1738246876.6758046,79,1738246795,290940046,,2,/imus_data_acq_3748_1738246752939,IMUs on port /dev/ttyUSB0 calibrated!,imus_data_acquisition.py,IMUBNOArduinoNode.calibrate_imu,38,"['/shank/imu_data', '/foot/imu_data', '/rosout']"
1738246876.6759145,273,1738246806,38126945,,2,/ankle_angle_estimator_3782_1738246800875,Publishing Ankle Angle,ankle_angle_estimator.py,AnkleAngleEstimator.initialize,90,"['/rosout', '/shank/imu_data', '/foot/imu_data', '/ankle_joint/angle']"
