Time,Gait_Phases
1738246876.6787183,False
1738246876.695833,False
1738246876.709787,False
1738246876.7275653,False
1738246876.7456417,False
1738246876.7602315,False
1738246876.7779534,False
1738246876.795153,False
1738246876.8097477,True
1738246876.8281643,True
1738246876.8456523,True
1738246876.8604991,True
1738246876.8796377,True
1738246876.8962193,False
1738246876.9113424,False
1738246876.929982,False
1738246876.9469264,False
1738246876.961062,False
1738246876.9799168,False
1738246876.99662,False
1738246877.011776,False
1738246877.029707,False
1738246877.0470412,False
1738246877.061212,False
1738246877.0807767,False
1738246877.0971758,False
1738246877.1118796,False
1738246877.1303215,False
1738246877.1474457,False
1738246877.1624706,False
1738246877.1810863,False
1738246877.1977398,False
1738246877.212702,False
1738246877.2312818,False
1738246877.2480493,False
1738246877.262895,False
1738246877.2815096,False
1738246877.2980947,False
1738246877.312948,False
1738246877.331317,False
1738246877.3479958,False
1738246877.3627408,False
1738246877.381461,False
1738246877.3978047,False
1738246877.413378,False
1738246877.43164,False
1738246877.448322,False
1738246877.4631846,False
1738246877.4817092,False
1738246877.4981153,False
1738246877.5131342,False
1738246877.5322866,False
1738246877.5485687,False
1738246877.5631087,False
1738246877.5819142,False
1738246877.59857,False
1738246877.613632,False
1738246877.6327982,False
1738246877.6489716,False
1738246877.6642177,False
1738246877.6826756,False
1738246877.6990292,False
1738246877.7139742,False
1738246877.7324798,False
1738246877.748912,False
1738246877.7643256,False
1738246877.7826903,False
1738246877.7990518,False
1738246877.813907,False
1738246877.8327832,False
1738246877.849274,False
1738246877.8642304,False
1738246877.8831432,False
1738246877.8988593,False
1738246877.9143996,False
1738246877.9328718,False
1738246877.949951,False
1738246877.9643612,False
1738246877.9828768,False
1738246878.000079,False
1738246878.0141249,False
1738246878.032442,False
1738246878.05025,False
1738246878.0643532,False
1738246878.0825508,False
1738246878.1002753,False
1738246878.1143491,False
1738246878.1330252,False
1738246878.1501334,False
1738246878.164467,False
1738246878.1828113,False
1738246878.1996214,False
1738246878.2148528,True
1738246878.2333746,True
1738246878.250596,True
1738246878.2652807,True
1738246878.2842944,True
1738246878.3000414,True
1738246878.3148358,True
1738246878.333268,True
1738246878.3501732,True
1738246878.365475,True
1738246878.3834636,True
1738246878.4004798,True
1738246878.4151888,True
1738246878.4332142,True
1738246878.4503517,True
1738246878.4658206,True
1738246878.48399,True
1738246878.500348,True
1738246878.5155375,True
1738246878.5338645,True
1738246878.5508263,True
1738246878.5656383,True
1738246878.584126,True
1738246878.6007404,True
1738246878.6161056,True
1738246878.6336915,True
1738246878.6506896,True
1738246878.6657965,True
1738246878.683874,True
1738246878.7008812,True
1738246878.715758,False
1738246878.7336252,False
1738246878.7511992,False
1738246878.765948,False
1738246878.7846775,False
1738246878.8012097,False
1738246878.8161025,False
1738246878.8341436,False
1738246878.8512478,False
1738246878.8668225,False
1738246878.884647,False
1738246878.901282,False
1738246878.917369,False
1738246878.934222,False
1738246878.9518318,False
1738246878.966679,False
1738246878.9844708,False
1738246879.0023358,False
1738246879.017159,False
1738246879.0346348,False
1738246879.051845,False
